Kurs Jual,Kurs Beli,Tanggal
16361.4,16198.6,4/22/2024 12:00:00 AM
16257.89,16096.11,4/19/2024 12:00:00 AM
16321.2,16158.8,4/18/2024 12:00:00 AM
16256.88,16095.12,4/17/2024 12:00:00 AM
15952.36,15793.64,4/16/2024 12:00:00 AM
15986.53,15827.47,04/05/2024 00:00
16002.61,15843.39,04/04/2024 00:00
16013.67,15854.33,04/03/2024 00:00
15988.55,15829.45,04/02/2024 00:00
15952.36,15793.64,04/01/2024 00:00
15932.26,15773.74,3/28/2024 12:00:00 AM
15875.99,15718.01,3/27/2024 12:00:00 AM
15873.98,15716.02,3/26/2024 12:00:00 AM
15851.86,15694.14,3/25/2024 12:00:00 AM
15740.31,15583.69,3/22/2024 12:00:00 AM
15805.64,15648.36,3/21/2024 12:00:00 AM
15790.56,15633.44,3/20/2024 12:00:00 AM
15750.36,15593.64,3/19/2024 12:00:00 AM
15702.12,15545.88,3/18/2024 12:00:00 AM
15659.91,15504.09,3/15/2024 12:00:00 AM
15653.88,15498.12,3/14/2024 12:00:00 AM
15681.01,15524.99,3/13/2024 12:00:00 AM
15736.29,15579.71,03/08/2024 00:00
15801.61,15644.39,03/07/2024 00:00
15834.78,15677.22,03/06/2024 00:00
15801.61,15644.39,03/05/2024 00:00
15774.48,15617.52,03/04/2024 00:00
15793.58,15636.42,03/01/2024 00:00
15751.36,15594.64,2/29/2024 12:00:00 AM
15733.27,15576.73,2/28/2024 12:00:00 AM
15713.17,15556.83,2/27/2024 12:00:00 AM
15666.94,15511.06,2/26/2024 12:00:00 AM
15708.15,15551.85,2/23/2024 12:00:00 AM
15736.29,15579.71,2/22/2024 12:00:00 AM
15737.3,15580.7,2/21/2024 12:00:00 AM
15708.15,15551.85,2/20/2024 12:00:00 AM
15732.27,15575.73,2/19/2024 12:00:00 AM
15684.03,15527.97,2/16/2024 12:00:00 AM
15662.92,15507.08,2/15/2024 12:00:00 AM
15690.06,15533.94,2/13/2024 12:00:00 AM
15763.42,15606.58,02/12/2024 00:00
15812.67,15655.33,02/07/2024 00:00
15783.52,15626.48,02/06/2024 00:00
15766.44,15609.56,02/05/2024 00:00
15853.88,15696.13,02/02/2024 00:00
15882.01,15723.99,02/01/2024 00:00
15874.98,15717.02,1/31/2024 12:00:00 AM
15904.13,15745.88,1/30/2024 12:00:00 AM
15908.15,15749.85,1/29/2024 12:00:00 AM
15845.83,15688.17,1/26/2024 12:00:00 AM
15797.59,15640.41,1/25/2024 12:00:00 AM
15734.28,15577.72,1/24/2024 12:00:00 AM
15705.14,15548.86,1/23/2024 12:00:00 AM
15706.14,15549.86,1/22/2024 12:00:00 AM
15708.15,15551.85,1/19/2024 12:00:00 AM
15717.19,15560.81,1/18/2024 12:00:00 AM
15669.96,15514.04,1/17/2024 12:00:00 AM
15632.77,15477.23,1/16/2024 12:00:00 AM
15636.8,15481.2,1/15/2024 12:00:00 AM
15635.79,15480.21,01/12/2024 00:00
15645.84,15490.16,01/11/2024 00:00
15595.59,15440.41,01/10/2024 00:00
15599.61,15444.39,01/09/2024 00:00
15595.59,15440.41,01/08/2024 00:00
15602.63,15447.38,01/05/2024 00:00
15572.48,15417.52,01/04/2024 00:00
15550.36,15395.64,01/03/2024 00:00
15516.19,15361.81,01/02/2024 00:00
15493.08,15338.92,12/29/2023 12:00:00 AM
15491.07,15336.93,12/28/2023 12:00:00 AM
15566.44,15411.56,12/27/2023 12:00:00 AM
15610.67,15455.33,12/22/2023 12:00:00 AM
15589.56,15434.44,12/21/2023 12:00:00 AM
15583.53,15428.47,12/20/2023 12:00:00 AM
15593.58,15438.42,12/19/2023 12:00:00 AM
15580.51,15425.49,12/18/2023 12:00:00 AM
15570.47,15415.53,12/15/2023 12:00:00 AM
15707.15,15550.85,12/14/2023 12:00:00 AM
15709.16,15552.84,12/13/2023 12:00:00 AM
15692.07,15535.93,12/12/2023 00:00
15577.5,15422.5,12/11/2023 00:00
15613.68,15458.32,12/08/2023 00:00
15581.52,15426.48,12/07/2023 00:00
15581.52,15426.48,12/06/2023 00:00
15523.23,15368.77,12/05/2023 00:00
15601.62,15446.38,12/04/2023 00:00
15561.42,15406.58,12/01/2023 00:00
15460.92,15307.08,11/30/2023 12:00:00 AM
15527.25,15372.75,11/29/2023 12:00:00 AM
15604.64,15449.36,11/28/2023 12:00:00 AM
15664.93,15509.07,11/27/2023 12:00:00 AM
15670.97,15515.03,11/24/2023 12:00:00 AM
15661.92,15506.08,11/23/2023 12:00:00 AM
15513.18,15358.82,11/22/2023 12:00:00 AM
15496.09,15341.91,11/21/2023 12:00:00 AM
15581.52,15426.48,11/20/2023 12:00:00 AM
15672.98,15517.02,11/17/2023 12:00:00 AM
15580.51,15425.49,11/16/2023 12:00:00 AM
15777.5,15620.5,11/15/2023 12:00:00 AM
15791.57,15634.43,11/14/2023 12:00:00 AM
15771.47,15614.53,11/13/2023 12:00:00 AM
15727.25,15570.75,11/10/2023 00:00
15707.15,15550.85,11/09/2023 00:00
15670.97,15515.03,11/08/2023 00:00
15627.75,15472.25,11/07/2023 00:00
15849.85,15692.15,11/06/2023 00:00
15940.31,15781.69,11/03/2023 00:00
16025.73,15866.27,11/02/2023 00:00
15976.49,15817.51,11/01/2023 00:00
15995.58,15836.42,10/31/2023 12:00:00 AM
16020.7,15861.3,10/30/2023 12:00:00 AM
16012.67,15853.33,10/27/2023 12:00:00 AM
15950.35,15791.65,10/26/2023 12:00:00 AM
15948.34,15789.66,10/25/2023 12:00:00 AM
16022.72,15863.28,10/24/2023 12:00:00 AM
15935.28,15776.72,10/23/2023 12:00:00 AM
15917.19,15758.81,10/20/2023 12:00:00 AM
15809.66,15652.34,10/19/2023 12:00:00 AM
15796.59,15639.41,10/18/2023 12:00:00 AM
15794.58,15637.42,10/17/2023 12:00:00 AM
15787.55,15630.45,10/16/2023 12:00:00 AM
15780.51,15623.49,10/13/2023 12:00:00 AM
15788.55,15631.45,10/12/2023 00:00
15786.54,15629.46,10/11/2023 00:00
15753.38,15596.63,10/10/2023 00:00
15706.14,15549.86,10/09/2023 00:00
15679,15523,10/06/2023 00:00
15714.18,15557.82,10/05/2023 00:00
15678,15522,10/04/2023 00:00
15596.59,15441.41,10/03/2023 00:00
15564.43,15409.57,10/02/2023 00:00
15603.63,15448.37,9/29/2023 12:00:00 AM
15541.32,15386.68,9/27/2023 12:00:00 AM
15476,15322,9/26/2023 12:00:00 AM
15459.92,15306.08,9/25/2023 12:00:00 AM
15473.99,15320.01,9/22/2023 12:00:00 AM
15472.98,15319.02,9/21/2023 12:00:00 AM
15457.91,15304.09,9/20/2023 12:00:00 AM
15449.86,15296.14,9/19/2023 12:00:00 AM
15443.83,15290.17,9/18/2023 12:00:00 AM
15433.78,15280.22,9/15/2023 12:00:00 AM
15443.83,15290.17,9/14/2023 12:00:00 AM
15420.72,15267.28,9/13/2023 12:00:00 AM
15428.76,15275.24,09/12/2023 00:00
15417.7,15264.3,09/11/2023 00:00
15410.67,15257.33,09/08/2023 00:00
15383.53,15230.47,09/07/2023 00:00
15336.3,15183.7,09/06/2023 00:00
15323.24,15170.76,09/05/2023 00:00
15328.26,15175.74,09/04/2023 00:00
15313.18,15160.82,09/01/2023 00:00
15315.19,15162.81,8/31/2023 12:00:00 AM
15339.32,15186.68,8/30/2023 12:00:00 AM
15370.47,15217.53,8/29/2023 12:00:00 AM
15373.49,15220.51,8/28/2023 12:00:00 AM
15329.26,15176.74,8/25/2023 12:00:00 AM
15395.59,15242.41,8/24/2023 12:00:00 AM
15402.63,15249.37,8/23/2023 12:00:00 AM
15405.65,15252.35,8/22/2023 12:00:00 AM
15384.54,15231.46,8/21/2023 12:00:00 AM
15384.54,15231.46,8/18/2023 12:00:00 AM
15422.73,15269.27,8/16/2023 12:00:00 AM
15399.61,15246.39,8/15/2023 12:00:00 AM
15301.13,15148.88,8/14/2023 12:00:00 AM
15280.02,15127.98,08/11/2023 00:00
15282.03,15129.97,08/10/2023 00:00
15305.15,15152.85,08/09/2023 00:00
15253.89,15102.11,08/08/2023 00:00
15243.84,15092.16,08/07/2023 00:00
15273.99,15122.01,08/04/2023 00:00
15246.85,15095.15,08/03/2023 00:00
15192.58,15041.42,08/02/2023 00:00
15167.46,15016.54,08/01/2023 00:00
15158.42,15007.58,7/31/2023 12:00:00 AM
15078.01,14927.99,7/28/2023 12:00:00 AM
15107.16,14956.84,7/27/2023 12:00:00 AM
15082.03,14931.97,7/26/2023 12:00:00 AM
15103.14,14952.86,7/25/2023 12:00:00 AM
15101.13,14950.87,7/24/2023 12:00:00 AM
15065.95,14916.05,7/21/2023 12:00:00 AM
15068.97,14919.03,7/20/2023 12:00:00 AM
15082.03,14931.97,7/18/2023 12:00:00 AM
15019.73,14870.27,7/17/2023 12:00:00 AM
15052.89,14903.11,7/14/2023 12:00:00 AM
15159.42,15008.58,7/13/2023 12:00:00 AM
15237.81,15086.19,07/12/2023 00:00
15267.96,15116.04,07/11/2023 00:00
15211.68,15060.32,07/10/2023 00:00
15137.31,14986.69,07/07/2023 00:00
15088.07,14937.93,07/06/2023 00:00
15093.09,14942.91,07/05/2023 00:00
15109.17,14958.83,07/04/2023 00:00
15075,14925,07/03/2023 00:00
15101.13,14950.87,6/27/2023 12:00:00 AM
15072.99,14923.01,6/26/2023 12:00:00 AM
14992.59,14843.41,6/23/2023 12:00:00 AM
15056.91,14907.09,6/22/2023 12:00:00 AM
15115.2,14964.8,6/21/2023 12:00:00 AM
15068.97,14919.03,6/20/2023 12:00:00 AM
15019.73,14870.27,6/19/2023 12:00:00 AM
15017.72,14868.28,6/16/2023 12:00:00 AM
14969.48,14820.52,6/15/2023 12:00:00 AM
14942.34,14793.66,6/14/2023 12:00:00 AM
14948.37,14799.63,6/13/2023 12:00:00 AM
14927.26,14778.74,06/12/2023 00:00
14977.51,14828.49,06/09/2023 00:00
14949.38,14800.63,06/08/2023 00:00
14913.19,14764.81,06/07/2023 00:00
14962.44,14813.56,06/06/2023 00:00
15078.01,14927.99,06/05/2023 00:00
15043.84,14894.16,5/31/2023 12:00:00 AM
15047.86,14898.14,5/30/2023 12:00:00 AM
15033.8,14884.2,5/29/2023 12:00:00 AM
15026.76,14877.24,5/26/2023 12:00:00 AM
14979.52,14830.48,5/25/2023 12:00:00 AM
14952.39,14803.61,5/24/2023 12:00:00 AM
14971.49,14822.51,5/23/2023 12:00:00 AM
15010.68,14861.32,5/22/2023 12:00:00 AM
14949.38,14800.63,5/19/2023 12:00:00 AM
14884.05,14735.95,5/17/2023 12:00:00 AM
14886.06,14737.94,5/16/2023 12:00:00 AM
14825.76,14678.24,5/15/2023 12:00:00 AM
14795.61,14648.39,05/12/2023 00:00
14819.73,14672.27,05/11/2023 00:00
14830.78,14683.22,05/10/2023 00:00
14782.55,14635.45,05/09/2023 00:00
14747.37,14600.63,05/08/2023 00:00
14705.16,14558.84,05/05/2023 00:00
14779.53,14632.47,05/04/2023 00:00
14776.51,14629.49,05/03/2023 00:00
14734.31,14587.69,05/02/2023 00:00
14824.75,14677.25,4/28/2023 12:00:00 AM
14956.41,14807.59,4/27/2023 12:00:00 AM
14929.27,14780.73,4/26/2023 12:00:00 AM
14846.86,14699.14,4/18/2023 12:00:00 AM
14739.33,14592.67,4/17/2023 12:00:00 AM
14865.96,14718.04,4/14/2023 12:00:00 AM
14940.33,14791.67,4/13/2023 12:00:00 AM
14962.44,14813.56,04/12/2023 00:00
14979.52,14830.48,04/11/2023 00:00
15017.72,14868.28,04/10/2023 00:00
15007.67,14858.33,04/06/2023 00:00
14987.57,14838.43,04/05/2023 00:00
15064.95,14915.05,04/04/2023 00:00
15051.89,14902.11,04/03/2023 00:00
15137.31,14986.69,3/31/2023 12:00:00 AM
15169.47,15018.53,3/30/2023 12:00:00 AM
15163.44,15012.56,3/29/2023 12:00:00 AM
15249.87,15098.13,3/28/2023 12:00:00 AM
15264.94,15113.06,3/27/2023 12:00:00 AM
15425.75,15272.25,3/24/2023 12:00:00 AM
15448.86,15295.14,3/21/2023 12:00:00 AM
15440.82,15287.18,3/20/2023 12:00:00 AM
15495.09,15340.91,3/17/2023 12:00:00 AM
15441.83,15288.17,3/16/2023 12:00:00 AM
15456.9,15303.1,3/15/2023 12:00:00 AM
15450.87,15297.13,3/14/2023 12:00:00 AM
15545.34,15390.66,3/13/2023 12:00:00 AM
15515.19,15360.81,03/10/2023 00:00
15528.25,15373.75,03/09/2023 00:00
15435.8,15282.2,03/08/2023 00:00
15377.5,15224.5,03/07/2023 00:00
15382.53,15229.47,03/06/2023 00:00
15349.36,15196.64,03/03/2023 00:00
15326.25,15173.75,03/02/2023 00:00
15316.2,15163.8,03/01/2023 00:00
15350.37,15197.63,2/28/2023 12:00:00 AM
15292.08,15139.92,2/27/2023 12:00:00 AM
15262.93,15111.07,2/24/2023 12:00:00 AM
15294.09,15141.91,2/23/2023 12:00:00 AM
15254.9,15103.1,2/22/2023 12:00:00 AM
15243.84,15092.16,2/21/2023 12:00:00 AM
15275,15123,2/20/2023 12:00:00 AM
15251.88,15100.12,2/17/2023 12:00:00 AM
15269.97,15118.03,2/16/2023 12:00:00 AM
15243.84,15092.16,2/15/2023 12:00:00 AM
15292.08,15139.92,2/14/2023 12:00:00 AM
15215.7,15064.3,2/13/2023 12:00:00 AM
15195.6,15044.4,02/10/2023 00:00
15197.61,15046.39,02/09/2023 00:00
15214.69,15063.31,02/08/2023 00:00
15130.27,14979.73,02/07/2023 00:00
14972.49,14823.51,02/06/2023 00:00
14942.34,14793.66,02/03/2023 00:00
15065.95,14916.05,02/02/2023 00:00
15066.96,14917.04,02/01/2023 00:00
15053.9,14904.1,1/31/2023 12:00:00 AM
15052.89,14903.11,1/30/2023 12:00:00 AM
15038.82,14889.18,1/27/2023 12:00:00 AM
15032.79,14883.21,1/26/2023 12:00:00 AM
15004.65,14855.35,1/25/2023 12:00:00 AM
15196.6,15045.4,1/24/2023 12:00:00 AM
15188.57,15037.43,1/20/2023 12:00:00 AM
15212.68,15061.32,1/19/2023 12:00:00 AM
15229.77,15078.23,1/18/2023 12:00:00 AM
15094.09,14943.91,1/17/2023 12:00:00 AM
15252.89,15101.11,1/16/2023 12:00:00 AM
15442.83,15289.17,1/13/2023 12:00:00 AM
15604.64,15449.36,01/12/2023 00:00
15666.94,15511.06,01/11/2023 00:00
15651.87,15496.13,01/10/2023 00:00
15713.17,15556.83,01/09/2023 00:00
15688.05,15531.95,01/06/2023 00:00
15693.08,15536.92,01/05/2023 00:00
15667.95,15512.05,01/04/2023 00:00
15649.86,15494.14,01/03/2023 00:00
15669.96,15514.04,01/02/2023 00:00
15809.66,15652.34,12/30/2022 12:00:00 AM
15781.51,15624.49,12/29/2022 12:00:00 AM
15737.3,15580.7,12/28/2022 12:00:00 AM
15714.18,15557.82,12/27/2022 12:00:00 AM
15683.02,15526.98,12/26/2022 12:00:00 AM
15671.97,15516.03,12/23/2022 12:00:00 AM
15679,15523,12/22/2022 12:00:00 AM
15686.04,15529.96,12/21/2022 12:00:00 AM
15699.1,15542.9,12/20/2022 12:00:00 AM
15695.08,15538.92,12/19/2022 12:00:00 AM
15708.15,15551.85,12/16/2022 12:00:00 AM
15697.09,15540.91,12/15/2022 12:00:00 AM
15739.31,15582.69,12/14/2022 12:00:00 AM
15720.21,15563.79,12/13/2022 12:00:00 AM
15664.93,15509.07,12/12/2022 00:00
15702.12,15545.88,12/09/2022 00:00
15697.09,15540.91,12/08/2022 00:00
15653.88,15498.12,12/07/2022 00:00
15486.05,15331.95,12/06/2022 00:00
15506.15,15351.85,12/05/2022 00:00
15695.08,15538.92,12/02/2022 00:00
15820.71,15663.29,12/01/2022 00:00
15815.68,15658.32,11/30/2022 12:00:00 AM
15807.65,15650.35,11/29/2022 12:00:00 AM
15746.34,15589.66,11/28/2022 12:00:00 AM
15725.24,15568.76,11/25/2022 12:00:00 AM
15778.5,15621.5,11/24/2022 12:00:00 AM
15794.58,15637.42,11/23/2022 12:00:00 AM
15785.53,15628.47,11/22/2022 12:00:00 AM
15770.46,15613.54,11/21/2022 12:00:00 AM
15765.43,15608.57,11/18/2022 12:00:00 AM
15688.05,15531.95,11/17/2022 12:00:00 AM
15641.82,15486.18,11/16/2022 12:00:00 AM
15576.5,15421.5,11/15/2022 12:00:00 AM
15570.47,15415.53,11/14/2022 12:00:00 AM
15779.5,15622.5,11/11/2022 00:00
15732.27,15575.73,11/10/2022 00:00
15762.42,15605.58,11/09/2022 00:00
15770.46,15613.54,11/08/2022 00:00
15814.68,15657.32,11/07/2022 00:00
15759.41,15602.59,11/04/2022 00:00
15730.26,15573.74,11/03/2022 00:00
15725.24,15568.76,11/02/2022 00:00
15673.98,15518.02,11/01/2022 00:00
15619.71,15464.29,10/31/2022 12:00:00 AM
15650.86,15495.14,10/28/2022 12:00:00 AM
15673.98,15518.02,10/27/2022 12:00:00 AM
15694.08,15537.92,10/26/2022 12:00:00 AM
15667.95,15512.05,10/25/2022 12:00:00 AM
15688.05,15531.95,10/24/2022 12:00:00 AM
15656.9,15501.1,10/21/2022 12:00:00 AM
15568.45,15413.55,10/20/2022 12:00:00 AM
15546.34,15391.66,10/19/2022 12:00:00 AM
15557.4,15402.6,10/18/2022 12:00:00 AM
15466.95,15313.05,10/17/2022 12:00:00 AM
15433.78,15280.22,10/14/2022 12:00:00 AM
15449.86,15296.14,10/13/2022 12:00:00 AM
15438.81,15285.19,10/12/2022 00:00
15375.5,15222.5,10/11/2022 00:00
15322.23,15169.77,10/10/2022 00:00
15272.99,15121.01,10/07/2022 00:00
15271.98,15120.02,10/06/2022 00:00
15352.38,15199.62,10/05/2022 00:00
15369.47,15216.53,10/04/2022 00:00
15308.16,15155.84,10/03/2022 00:00
15323.24,15170.76,9/30/2022 12:00:00 AM
15319.22,15166.78,9/29/2022 12:00:00 AM
15230.77,15079.23,9/28/2022 12:00:00 AM
15194.59,15043.41,9/27/2022 12:00:00 AM
15110.17,14959.83,9/26/2022 12:00:00 AM
15108.17,14957.83,9/23/2022 12:00:00 AM
15086.06,14935.94,9/22/2022 12:00:00 AM
15049.88,14900.13,9/21/2022 12:00:00 AM
15054.9,14905.1,9/20/2022 12:00:00 AM
15013.69,14864.31,9/19/2022 12:00:00 AM
14973.5,14824.5,9/16/2022 12:00:00 AM
14997.61,14848.39,9/15/2022 12:00:00 AM
14935.31,14786.69,9/14/2022 12:00:00 AM
14913.19,14764.81,9/13/2022 12:00:00 AM
14920.23,14771.77,09/12/2022 00:00
14979.52,14830.48,09/09/2022 00:00
15001.64,14852.36,09/08/2022 00:00
14959.42,14810.58,09/07/2022 00:00
14994.6,14845.4,09/06/2022 00:00
14974.5,14825.5,09/05/2022 00:00
14958.42,14809.58,09/02/2022 00:00
14927.26,14778.74,09/01/2022 00:00
14949.38,14800.63,8/31/2022 12:00:00 AM
14961.43,14812.57,8/30/2022 12:00:00 AM
14888.07,14739.93,8/29/2022 12:00:00 AM
14901.14,14752.86,8/26/2022 12:00:00 AM
14925.25,14776.75,8/25/2022 12:00:00 AM
14967.47,14818.53,8/24/2022 12:00:00 AM
14956.41,14807.59,8/23/2022 12:00:00 AM
14932.29,14783.71,8/22/2022 12:00:00 AM
14896.11,14747.89,8/19/2022 12:00:00 AM
14840.83,14693.17,8/18/2022 12:00:00 AM
14800.64,14653.36,8/16/2022 12:00:00 AM
14761.44,14614.56,8/15/2022 12:00:00 AM
14873,14725,08/12/2022 00:00
14949.38,14800.63,08/11/2022 00:00
14936.31,14787.69,08/10/2022 00:00
14989.58,14840.42,08/09/2022 00:00
14978.52,14829.48,08/08/2022 00:00
15003.65,14854.35,08/05/2022 00:00
14991.58,14842.42,08/04/2022 00:00
14962.44,14813.56,08/03/2022 00:00
14948.37,14799.63,08/02/2022 00:00
14934.3,14785.7,08/01/2022 00:00
15032.79,14883.21,7/29/2022 12:00:00 AM
15095.1,14944.9,7/28/2022 12:00:00 AM
15058.92,14909.08,7/27/2022 12:00:00 AM
15066.96,14917.04,7/26/2022 12:00:00 AM
15099.12,14948.88,7/25/2022 12:00:00 AM
15092.08,14941.92,7/22/2022 12:00:00 AM
15058.92,14909.08,7/21/2022 12:00:00 AM
15066.96,14917.04,7/20/2022 12:00:00 AM
15060.93,14911.07,7/19/2022 12:00:00 AM
15074,14924,7/18/2022 12:00:00 AM
15074,14924,7/15/2022 12:00:00 AM
15059.92,14910.08,7/14/2022 12:00:00 AM
15067.97,14918.03,7/13/2022 12:00:00 AM
15043.84,14894.16,07/12/2022 00:00
15055.91,14906.1,07/11/2022 00:00
15060.93,14911.07,07/08/2022 00:00
15090.08,14939.93,07/07/2022 00:00
15064.95,14915.05,07/06/2022 00:00
15034.8,14885.2,07/05/2022 00:00
15030.78,14881.22,07/04/2022 00:00
14956.41,14807.59,07/01/2022 00:00
14922.24,14773.76,6/30/2022 12:00:00 AM
14911.19,14762.82,6/29/2022 12:00:00 AM
14876.01,14727.99,6/28/2022 12:00:00 AM
14920.23,14771.77,6/27/2022 12:00:00 AM
14909.18,14760.83,6/24/2022 12:00:00 AM
14934.3,14785.7,6/23/2022 12:00:00 AM
14878.02,14729.98,6/22/2022 12:00:00 AM
14910.18,14761.82,6/21/2022 12:00:00 AM
14902.14,14753.86,6/20/2022 12:00:00 AM
14814.71,14667.3,6/17/2022 12:00:00 AM
14819.73,14672.27,6/16/2022 12:00:00 AM
14802.65,14655.36,6/15/2022 12:00:00 AM
14745.36,14598.64,6/14/2022 12:00:00 AM
14641.85,14496.16,6/13/2022 12:00:00 AM
14627.78,14482.23,06/10/2022 00:00
14549.39,14404.62,06/09/2022 00:00
14536.32,14391.68,06/08/2022 00:00
14534.31,14389.69,06/07/2022 00:00
14503.16,14358.85,06/06/2022 00:00
14598.63,14453.37,06/03/2022 00:00
14664.96,14519.04,06/02/2022 00:00
14616.72,14471.28,5/31/2022 12:00:00 AM
14650.89,14505.11,5/30/2022 12:00:00 AM
14718.23,14571.78,5/27/2022 12:00:00 AM
14726.27,14579.74,5/25/2022 12:00:00 AM
14738.33,14591.68,5/24/2022 12:00:00 AM
14734.31,14587.7,5/23/2022 12:00:00 AM
14804.66,14657.35,5/20/2022 12:00:00 AM
14755.41,14608.59,5/19/2022 12:00:00 AM
14724.26,14577.75,5/18/2022 12:00:00 AM
14692.1,14545.91,5/17/2022 12:00:00 AM
14657.93,14512.08,5/13/2022 12:00:00 AM
14618.73,14473.27,05/12/2022 00:00
14618.73,14473.27,05/11/2022 00:00
14606.67,14461.33,05/10/2022 00:00
14552.4,14407.6,05/09/2022 00:00
14490.09,14345.91,4/28/2022 12:00:00 AM
14484.06,14339.94,4/27/2022 12:00:00 AM
14524.26,14379.74,4/26/2022 12:00:00 AM
14432.81,14289.2,4/25/2022 12:00:00 AM
14419.74,14276.26,4/22/2022 12:00:00 AM
14422.76,14279.25,4/21/2022 12:00:00 AM
14418.74,14275.27,4/20/2022 12:00:00 AM
14427.78,14284.22,4/19/2022 12:00:00 AM
14420.75,14277.26,4/18/2022 12:00:00 AM
14430.8,14287.21,4/14/2022 12:00:00 AM
14435.82,14292.18,4/13/2022 12:00:00 AM
14441.85,14298.15,04/12/2022 00:00
14436.83,14293.18,04/11/2022 00:00
14430.8,14287.21,04/08/2022 00:00
14435.82,14292.18,04/07/2022 00:00
14419.74,14276.26,04/06/2022 00:00
14433.81,14290.19,04/05/2022 00:00
14435.82,14292.18,04/04/2022 00:00
14428.79,14285.22,04/01/2022 00:00
14420.75,14277.26,3/31/2022 12:00:00 AM
14435.82,14292.18,3/30/2022 12:00:00 AM
14431.8,14288.2,3/29/2022 12:00:00 AM
14412.71,14269.3,3/28/2022 12:00:00 AM
14432.81,14289.2,3/25/2022 12:00:00 AM
14422.76,14279.25,3/24/2022 12:00:00 AM
14429.79,14286.21,3/23/2022 12:00:00 AM
14412.71,14269.3,3/22/2022 12:00:00 AM
14411.7,14268.3,3/21/2022 12:00:00 AM
14361.45,14218.55,3/18/2022 12:00:00 AM
14382.56,14239.45,3/17/2022 12:00:00 AM
14392.61,14249.4,3/16/2022 12:00:00 AM
14399.64,14256.36,3/15/2022 12:00:00 AM
14377.53,14234.47,3/14/2022 12:00:00 AM
14369.49,14226.51,03/11/2022 00:00
14442.86,14299.15,03/10/2022 00:00
14465.97,14322.03,03/09/2022 00:00
14483.06,14338.95,03/08/2022 00:00
14454.92,14311.09,03/07/2022 00:00
14444.87,14301.14,03/04/2022 00:00
14421.75,14278.25,03/02/2022 00:00
14440.85,14297.16,03/01/2022 00:00
14442.86,14299.15,2/25/2022 12:00:00 AM
14426.78,14283.23,2/24/2022 12:00:00 AM
14433.81,14290.19,2/23/2022 12:00:00 AM
14400.65,14257.36,2/22/2022 12:00:00 AM
14410.7,14267.31,2/21/2022 12:00:00 AM
14372.51,14229.5,2/18/2022 12:00:00 AM
14349.39,14206.61,2/17/2022 12:00:00 AM
14363.46,14220.54,2/16/2022 12:00:00 AM
14409.69,14266.31,2/15/2022 12:00:00 AM
14430.8,14287.21,2/14/2022 12:00:00 AM
14415.72,14272.28,02/11/2022 00:00
14437.83,14294.17,02/10/2022 00:00
14456.93,14313.08,02/09/2022 00:00
14476.02,14331.98,02/08/2022 00:00
